Food Item,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
Idli (2 pcs),Breakfast,100 g,78,2.5,16,0.3,0.8
Plain Dosa,Breakfast,100 g,168,3.9,28,5.5,1.4
Masala Dosa,Breakfast,150 g,250,5.5,40,8,2.5
Rava Dosa,Breakfast,100 g,180,4,25,7,1
Uttapam,Breakfast,100 g,150,4,25,4,1.5
Appam,Breakfast,100 g,120,2,22,2.5,0.7
Set Dosa,Breakfast,100 g,160,3.8,27,5,1.3
Neer Dosa,Breakfast,100 g,110,2.2,20,2,0.5
Pesarattu,Breakfast,100 g,140,7,20,3.5,3
Vada (Medu Vada),Snack,50 g,97,3,10,5.5,1
Sambar Vada,Snack,150 g,220,6,25,10,2.5
Rava Idli,Breakfast,100 g,132,3,20,4,1
Upma,Breakfast,150 g,225,5,35,7,2
Pongal (Ven Pongal),Breakfast,200 g,300,7,45,9,2
Sambar,Curry,150 g,120,6,18,3,4
Rasam,Soup,150 g,60,2,10,1.5,1
Curd Rice,Rice Dish,200 g,220,6,35,5,1
Lemon Rice,Rice Dish,200 g,240,4,40,7,1.5
Tamarind Rice (Puliyodarai),Rice Dish,200 g,260,4,45,7,1.5
Coconut Rice,Rice Dish,200 g,270,4,42,10,1.5
Bisi Bele Bath,Rice Dish,250 g,320,8,50,9,3
Vegetable Biryani,Rice Dish,250 g,350,7,55,10,3
Chicken Biryani,Rice Dish,250 g,450,22,55,15,2
Mutton Biryani,Rice Dish,250 g,500,25,50,20,2
Curd (Plain Yogurt),Dairy,100 g,60,3.5,4.7,3.3,0
Buttermilk (Spiced),Beverage,200 ml,40,2,4,1,0
Filter Coffee,Beverage,150 ml,60,1.5,8,2,0
Avial,Curry,150 g,150,3,15,9,4
Kootu,Curry,150 g,130,6,15,5,4
Chettinad Chicken Curry,Curry,150 g,280,20,8,18,1.5
Fish Curry (Kerala Style),Curry,150 g,220,18,6,14,1
Prawn Curry,Curry,150 g,210,20,5,13,1
Egg Curry,Curry,150 g,190,10,8,13,1.5
Kadala Curry (Black Chana),Curry,150 g,180,9,25,5,7
Payasam (Semiya),Dessert,100 g,180,3,28,6,0.5
Payasam (Rice/Paal Payasam),Dessert,100 g,160,3,25,5,0.3
Mysore Pak,Sweet,50 g,240,2.5,25,15,0.5
Rava Kesari,Sweet,100 g,300,3,45,12,0.5
Obbattu / Puran Poli,Sweet,80 g,280,5,45,8,1.5
Banana Chips,Snack,50 g,270,1.5,30,17,2
Murukku,Snack,50 g,240,3,26,13,1.5
Mixture (Namkeen),Snack,50 g,250,6,22,15,2
Chakli,Snack,50 g,230,4,25,12,1.5
Adai,Breakfast,100 g,180,7,28,4,3
Paniyaram,Snack,100 g,190,4,28,6,1
Kesari Bath,Sweet,100 g,290,3,42,12,0.5
Idiyappam,Breakfast,100 g,110,2,24,0.5,0.8
Puttu,Breakfast,100 g,150,3,30,1.5,1.5
Vegetable Kurma,Curry,150 g,180,4,15,12,2.5
Chicken 65,Snack,150 g,320,22,10,20,1
Gobi Manchurian,Snack,150 g,280,6,25,17,2.5
Sundal (Chickpea),Snack,100 g,150,8,22,4,6
Steamed Rice (White),Staple,150 g,195,4,43,0.5,0.6
Brown Rice (Cooked),Staple,150 g,170,4,36,1.5,2.5
Ragi Mudde,Staple,150 g,175,4,38,1,3.5
Ragi Dosa,Breakfast,100 g,140,3.5,26,2.5,2
Jowar Roti,Staple,50 g,120,3,25,1,2
Sambar Rice,Rice Dish,250 g,280,7,45,6,3.5
Vegetable Stew (Kerala),Curry,150 g,160,3,12,11,2
Appalam / Papad (fried),Snack,10 g,45,1.5,5,2.5,0.4
Coconut Chutney,Condiment,30 g,70,1,3,6,1
Tomato Chutney,Condiment,30 g,40,0.8,4,2.5,0.6
Peanut Chutney,Condiment,30 g,80,3,4,6,1
Ginger Chutney,Condiment,20 g,35,0.5,4,2,0.3
Sambar Podi (Powder),Condiment,10 g,35,1.5,5,1,1.5
Rasam Podi (Powder),Condiment,10 g,30,1.2,4,1,1.2
Coconut Oil,Fat/Oil,10 g,90,0,0,10,0
Ghee,Fat/Oil,10 g,90,0,0,10,0
Jaggery,Sweetener,20 g,77,0,20,0,0
Banana (Nendran),Fruit,100 g,90,1,23,0.3,2
Coconut (Fresh),Nuts/Fruit,50 g,177,1,3,17,2
Groundnut (Roasted),Nuts,30 g,170,7,5,14,2
Toor Dal (Cooked),Pulse,100 g,120,7,20,0.5,5
Moong Dal (Cooked),Pulse,100 g,105,7,18,0.4,4
Urad Dal (Cooked),Pulse,100 g,110,7,19,0.5,4.5
Chana Dal (Cooked),Pulse,100 g,130,8,22,1,5
Rice Flour,Staple,100 g,366,6,80,1.4,2.4
Semolina (Rava/Sooji),Staple,100 g,360,10,73,1,3.9
Poha (Flattened Rice),Staple,100 g,350,7,77,1,3
Egg (Boiled),Protein,50 g,78,6.3,0.6,5.3,0
Chicken Breast (Cooked),Protein,100 g,165,31,0,3.6,0
